portco_id,product_id,period,arr,opening_arr,new_arr,expansion_arr,churn_arr,closing_arr,nrr_pct,grr_pct,gross_margin_pct,rule_of_40,runway_months,pipeline_coverage,quota_attainment_pct,ltv_cac_ratio,net_burn,nps
Portco Dummy,SaaS Product A,2025-01-01,1509.9,1480.3,45.3,22.6,-37.7,1509.9,107.8,90.6,71.5,35.0,24,3.28,71.3,3.56,260,51
Portco Dummy,SaaS Product A,2025-02-01,1545.3,1515.0,46.4,23.2,-38.6,1545.3,107.3,90.5,69.5,36.5,23,3.25,72.7,3.21,248,52
Portco Dummy,SaaS Product A,2025-03-01,1525.5,1495.6,45.8,22.9,-38.1,1525.5,107.2,89.0,70.3,38.0,22,3.21,67.8,3.55,236,53
Portco Dummy,SaaS Product A,2025-04-01,1585.5,1554.4,47.6,23.8,-39.6,1585.5,108.1,88.6,69.5,39.5,21,3.31,68.5,3.44,224,54
Portco Dummy,SaaS Product A,2025-05-01,1608.0,1576.5,48.2,24.1,-40.2,1608.0,107.6,89.4,71.9,41.0,20,3.3,68.8,3.48,212,55
Portco Dummy,SaaS Product A,2025-06-01,1625.6,1593.7,48.8,24.4,-40.6,1625.6,108.3,88.0,68.7,42.5,19,3.32,74.2,3.42,200,56
Portco Dummy,SaaS Product B,2025-01-01,1497.7,1468.3,44.9,22.5,-37.4,1497.7,107.5,88.5,69.3,35.0,24,3.25,75.2,3.43,260,51
Portco Dummy,SaaS Product B,2025-02-01,1494.7,1465.4,44.8,22.4,-37.4,1494.7,108.5,89.6,69.3,36.5,23,3.36,75.1,3.49,248,52
Portco Dummy,SaaS Product B,2025-03-01,1543.2,1513.0,46.3,23.1,-38.6,1543.2,107.5,90.3,71.0,38.0,22,3.25,71.4,3.29,236,53
Portco Dummy,SaaS Product B,2025-04-01,1566.1,1535.4,47.0,23.5,-39.2,1566.1,109.2,91.4,69.9,39.5,21,3.4,73.1,3.34,224,54
Portco Dummy,SaaS Product B,2025-05-01,1627.2,1595.3,48.8,24.4,-40.7,1627.2,110.3,90.0,71.6,41.0,20,3.04,74.5,3.41,212,55
Portco Dummy,SaaS Product B,2025-06-01,1644.0,1611.8,49.3,24.7,-41.1,1644.0,108.1,88.0,69.8,42.5,19,3.34,76.4,3.35,200,56
Portco Dummy,Enterprise Tier,2025-01-01,1483.8,1454.7,44.5,22.3,-37.1,1483.8,107.2,90.9,70.3,35.0,24,3.25,73.5,3.41,260,51
Portco Dummy,Enterprise Tier,2025-02-01,1549.4,1519.0,46.5,23.2,-38.7,1549.4,106.9,89.7,69.6,36.5,23,3.15,72.9,3.43,248,52
Portco Dummy,Enterprise Tier,2025-03-01,1560.1,1529.5,46.8,23.4,-39.0,1560.1,107.6,88.6,69.6,38.0,22,3.27,69.6,3.38,236,53
Portco Dummy,Enterprise Tier,2025-04-01,1598.1,1566.7,47.9,24.0,-40.0,1598.1,110.8,90.2,70.3,39.5,21,3.29,66.2,3.4,224,54
Portco Dummy,Enterprise Tier,2025-05-01,1621.2,1589.4,48.6,24.3,-40.5,1621.2,111.7,89.8,70.3,41.0,20,3.3,68.5,3.51,212,55
Portco Dummy,Enterprise Tier,2025-06-01,1665.0,1632.4,50.0,25.0,-41.6,1665.0,109.2,89.1,71.4,42.5,19,3.16,73.8,3.62,200,56
